Question,Label
කණුවක බැලූන් බෝල 2 ක බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,Division
බිස්කට් 300 ක් ඇත. ළමයෙකුට බිස්කට් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,Division
මීටර 90 ක් දිග කම්බියක් ඇත. සමාන කැබලි 2 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,Division
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත. මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 2 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,Division
පැන්සල් 420 ක් ඇත. ළමයෙකුට පැන්සල් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,Division
යෝගට් 720 ක් ඇත. යෝගට් 2 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,Division
කෙසෙල් ගෙඩි 840 ක් ඇත. කෙසෙල් ගෙඩි 2 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,Division
පොත් 900 ක් ඇත. අයකුට පොත් 2 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
බෝල 450  ක් ඇත. බෝල 2 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,Division
අඹ ගෙඩි 1200 ක් ඇත. අඹ ගෙඩි 2 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,Division
උත්සව ශාලාවක ඇති පුටු 100 ක් ඇත. මේසයකට පුටු 2 බැගින් මේස කීයක් තැබිය හැකි ද?,Division
කූඩයක නාරං ගෙඩි 2 ක් ඇත. එවැනි කූඩ 2 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,Multiplication
එක් පෙට්ටියක පැන්සල් 4 ක් තිබේ. එවැනි පෙට්ටි 2 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,Multiplication
පෑනක මිල රුපියල් 12 කි. එවැනි පෑන් 3 ක මිල කොපමණ ද?,Multiplication
මකනයක  මිල රුපියල් 20 කි. පොතක මිල මකනයක මිල මෙන් 2 ගුණයක්. පොතක මිල කොපමණ ද?,Multiplication
සුමුදුගේ දැන් වයස අවුරුදු 9 කි. ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 2 ගුණයක්. අක්කාගේ දැන් වයස කීය ද?,Multiplication
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය. එවැනි බස් රථ 58 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,Multiplication
පෙළකට පුටු 17 ක් තබා ඇත. එවැනි පේළි 116 ක ඇති මුළු පුටු ගණන කීය ද?,Multiplication
ගොඩක ගඩොල් කැට 493 ක් තිබේ. එවැනි ගොඩවල් 3 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,Multiplication
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි. ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 4 ගුණයක්. ලූනු  මල්ලක බර කොපමණ ද?,Multiplication
මේසයක පළල මීටර 7 ක් වේ. එහි දිග පළල මෙන් 2 ගුණයකි.  මේසයේ දිග කොපමණ ද?,Multiplication
කඩයක මිනිසුන් 67 දෙනෙකු සිටී. එවැනි කඩ 2 ක සිටින මුළු මිනිසුන් ගණන කීයද?,Multiplication
මාරි බිස්කට් පැකට් එකක මිල රුපියල් 100 කි. පෙට්‍රෝල් ලීටර එකක මිල මාරි බිස්කට් පැකට් එකක මිල මෙන් 4 ගුණයකි. පෙට්‍රෝල් ලීටරයක මිල කීයද?,Multiplication
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි. එවැනි පාර්ලිමේන්තු 13 ක සිටින මුළු හරක් ගණන කීයද?,Multiplication
එක් බදුනකට නෙලූම් මල් 182 ක් දමා ඇත. එවැනි බදුන් 3 ක් ඇත. එම බදුන් තුනෙහි ඇති මුළු නෙලූම් මල් සංඛ්‍යාව කීය ද?,Multiplication
පොත් තොගයක් පාසල් 2 ක් අතර සමානව බෙදූ විට එක් පාසලකට පොත් 480 ක් ලැබුණි. බෙදා දුන් මුළු පොත් සංඛ්‍යාව කීය ද?,Multiplication
ගඩොල් ගොඩක ගඩොල් කැට 493 ක් තිබේ නම් ගොඩවල් 3 ක ඇති ගඩොල් ප‍්‍රමාණය කොපමණ ද?,Multiplication
සුමුදුගේ දැන් වයස අවුරුදු 9 කි. ආච්චිගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 8 ගුණයකි. ආච්චිගේ දැන් වයස කීය ද?,Multiplication
පොත් 576 ක් සමානව පන්ති 4 කට බෙදූ විට එක් පන්තියකට පොත් කීයක් ලැබේ ද?,Division
පොත් 92 ක් එක් අයකුට 4 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
ශාලාවක් සැරසීමට බැලූම් බෝල 418 ක් ලබා දී ඇත. බැලූම් බෝල 2 බැගින් පොකුරු කීයක් සෑදිය හැකි ද?,Division
කොඩි 60 කින් කොඩි වැල් 4 ක් සැකසිය යුතු වේ. එක් කොඩි වැලක තිබිය යුතු කොඩි ගණන කීය ද?,Division
පුටු 610 ක් කාමර 5 ක සමාන ප‍්‍රමාණවලින් තබා ඇත. එක් කාමරයක තබා ඇති පුටු ගණන කීය ද?,Division
සුමුදුගේ දැන් වයස අවුරුදු 5 කි. ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 3 ගුණයක්. අක්කාගේ දැන් වයස කීය ද?,Multiplication
අඹ ගෙඩි 55 ක් එක් අයකුට 5 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
සහල් තොගයක් පවුල් 10 ක් අතර සමානව බෙදූ විට එක් පවුලකට සහල් කිලෝග්‍රෑම් 10 ක් ලැබුණි. බෙදා දුන් මුළු සහල් ප‍්‍රමාණය කොපමණ ද?,Multiplication
ඇපල් ගෙඩි 570 ක් සමානව ළමුන් 570 කට බෙදූ විට එක් ළමයෙක් ට ලැබෙන ඇපල් ගෙඩි ගණන කීය ද?,Division
කිරි පැකට් එකක මිල රුපියල් 80 කි. පෙට්‍රෝල් ලීටර එකක මිල කිරි පැකට් එකක මිල මෙන් 5 ගුණයකි. පෙට්‍රෝල් ලීටරයක මිල කීයද?,Multiplication
මීටර 30 ක් දිග කම්බියක් ඇත. සමාන කැබලි 3 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,Division
කණුවක බැලූන් බෝල 10 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,Division
ගඩොල් ගොඩක ගඩොල් කැට 1500 ක් තිබේ නම් ගොඩවල් 10 ක ඇති ගඩොල් ප‍්‍රමාණය කොපමණ ද?,Multiplication
ගුවන් යානාවක් එක්තරා ගමනක් සදහා තෙල් ලීටර 2000 ක් භාවිතා කරයි. එවැනි ගමන් 20 ක් යාමට අවශ්‍ය තෙල් ප්‍රමාණය කොපමණද?,Multiplication
නන්දසේන වසරකට ඩොලර් මිලියන 6000 ක් වංචා කරන ලදී. එසේ වසර 5 ක් තුළ වංචා කරන ලද මුළු මුදල කීයද?,Multiplication
පර්සි ක්‍රීඩාංගණයක් නවිකරණය කිරීම කියා රුපියල් කෝටි 2 ක් වංචා කරන ලදී. එසේ ක්‍රීඩාගාර 10 ක් නවිකරණය කරන ලද්දේ නම් වංචා කරන ලද මුළු මුදල කොපමණද?,Multiplication
ශාලාවක් සැරසීමට බැලූම් බෝල 3000 ක් ලබා දී ඇත. බැලූම් බෝල 5 බැගින් පොකුරු කීයක් සෑදිය හැකි ද?,Division
බිස්කට් 210 ක් එක් ළමයෙකුට බිස්කට් 10 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,Division
කෙසෙල් ගෙඩි 100 ක් ඇත. කෙසෙල් ගෙඩි 20 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,Division
එක් බදුනකට සුදු මල් 45 ක් දමා ඇත. එවැනි බදුන් 7 ක් ඇත. එම බදුන් තුනෙහි ඇති මුළු සුදු මල් සංඛ්‍යාව කීය ද?,Multiplication
සහල් මල්ලක බර කිලෝග්‍රෑම් 10 කි. ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 3 ගුණයක්. ලූනු  මල්ලක බර කොපමණ ද?,Multiplication
පොත් 588 ක් ඇත. අයකුට පොත් 4 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
පාර්ලිමේන්තුවක ගවයෝ 25 ක් සිටි. එවැනි පාර්ලිමේන්තු 25 ක සිටින මුළු හරක් ගණන කීයද?,Multiplication
ඇපල් ගෙඩි 390 ක් සමානව ළමුන් 195 කට බෙදූ විට එක් ළමයෙක් ට ලැබෙන ඇපල් ගෙඩි ගණන කීය ද?,Division
නන්දසේන වසරකට ඩොලර් මිලියන 40 ක් වංචා කරන ලදී. එසේ වසර 35 ක් තුළ වංචා කරන ලද මුළු මුදල කීයද?,Multiplication
කඩයක මිනිසුන් 7 දෙනෙකු සිටී. එවැනි කඩ 26 ක සිටින මුළු මිනිසුන් ගණන කීයද?,Multiplication
බිස්කට් 10 ක් එක් ළමයෙකුට බිස්කට් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,Division
මීටර 50 ක් දිග කම්බියක් ඇත. සමාන කැබලි 25 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,Division
පුටු 35 ක් කාමර 7 ක සමාන ප‍්‍රමාණවලින් තබා ඇත. එක් කාමරයක තබා ඇති පුටු ගණන කීය ද?,Division
පොත් 200 ක් සමානව පන්ති 10 කට බෙදූ විට එක් පන්තියකට පොත් කීයක් ලැබේ ද?,Division
පොත් 900 ක් එක් අයකුට 2 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
පේර ගෙඩි 20 කින් 4 න් පංගු 1 ක පේර ගෙඩි  ගණන කීයද?,Division
අඹ ගෙඩි 28 කින් 4 න් පංගු 2 ක අඹ ගෙඩි  ගණන කීයද?,Division
පැපොල් ගෙඩි 36 කින් 4 න් පංගු 3 ක පැපොල් ගෙඩි  ගණන කීයද?,Division
ගුරුතුමිය එක් ළමයෙකුට පෑන් 3 බැගින් ලැබෙන සේ පෑන් 423 ක් බෙදා දුන්නා ය. පෑන් ලබා ගත් ළමයින් සංඛ්‍යාව කීය ද?,Division
ශ්‍රිලංකාවේ සමස්ත ජනග්‍රහනය මිලියන 2 කි. එය දිස්ත්‍රික්ක 25 න් බෙදූ විට එක් දිස්ත්‍රික්කයක සිටින මුලු ජනග්‍රහනය කීය ද?,Division
කොප්පයක  මිල රුපියල් 250 කි. පිගානක මිල කෝප්පයක මිල මෙන් 2 ගුණයකි. පිගානක මිල කොපමණ ද?,Multiplication
පෑන් 300 ක් ඇත. අයකුට 2 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,Division
බෝතල් 250  ක් ඇත. බෝතල් 1 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,Division
හරක් පට්ටියක හරක් 525 ක් සිටි. එවැනි හරක් පට්ටි 13 ක සිටින මුළු හරක් ගණන කීයද?,Multiplication
ගමනක් යාමට මෝටර් රථයකට පෙට්‍රල් ලීටර 5 ක් වැයවේ. එවැනි ගමන් 2 ක් යාමට කොපමණ පෙට්‍රල් වැයවේද?,Multiplication
මීටර 60 ක් දිග පොල්ලක් ඇත. සමාන දිගින් යුතු කැබලි 8 කට කැපූ විට එක් කැබැල්ලක දිග කොපමණද?,Division
හැන්දක මිල රුපියල් 50 කි. එවැනි හැදි 5 ක මිල කොපමණ ද?,Multiplication
අල මල්ලක බර කිලෝග්‍රෑම් 10 කි. ලූනු  මල්ලක බර අල මල්ලක බර මෙන් 2 ගුණයකි. ලූනු  මල්ලක බර කොපමණ ද?,Multiplication
කූඩයක අඹ ගෙඩි 20 ක් ඇත. එවැනි කූඩ 14 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,Multiplication
ලොරි රථයක මගීන් 75 දෙනෙකුට ගමන් කළ හැකි ය. එවැනි ලොරි රථ 21 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,Multiplication
උත්සව ශාලාවක ඇති පුටු 400කි. මේසයකට පුටු 6 බැගින් මේස කීයක් තැබිය හැකි ද?,Division
බෝතලයක මිල රුපියල් 120 කි. එවැනි බෝතල් 5 ක මිල කොපමණ ද?,Multiplication
බිස්කට් පැකට් එකක මිල රුපියල් 120 කි. සබන් කැටයක මිල බිස්කට් පැකට් එකක මිල මෙන් 2 ගුණයකි. සබන් කැටයක මිල කීයද?,Multiplication
ගෙවත්තක අඹ ගස් 2 ක් ඇත ජම්බු ගස් 3 ක් ඇත ගෙවත්තේ ඇති මුළු ගස් ගණන කීය ද?,Addition
මා ළඟ රුපියල් 40 ක් ඇත එයින් රුපියල් 20 ක් යහළුවෙක් ට දුන්නේ ය මා ළඟ ඉතිරි මුදල කොපමණ ද?,Subtraction
වට්ටියක් සුදු මල් 10 ක් ඇත තව රතු මල් 20 ක් ද ඇත වට්ටියේ ඇති මුළු මල් ගණන කීය ද?,Addition
පරිගණක 6 කින් පරිගණක 3 ක් අබලන් වි ඇත අබලන් වි නොමැති පරිගනක ගණන කීය ද?,Subtraction
වතුර ලීටර 2 කට තව වතුර ලීටර 3 ක් එකතු කල විට මුළු වතුර ප්‍රමාණය ලීටර කොපමණ ද?,Addition
පොත් 20 කින් පොත් 10 ක් නැති වුණේ නම් ඉතිරි පොත් ගණන කීය ද?,Subtraction
එක් ගඩොල් ගොඩක ගඩොල් කැට 453 ක් ඇත තවත් ගඩොල් ගොඩක ගඩොල් කැට 473 ක් ඇත මුළු ගඩොල් කැට ගණන කීය ද?,Addition
එක් ගඩොල් ගොඩක ගඩොල් කැට 387 ක් ඇත එයින්  ගඩොල් කැට 35 ක් ඇත විකුණන ලදී ඉතිරි ගඩොල් කැට ගණන කීය ද?,Subtraction
පංතියක පිරිමි ළමයි 23 ක් සිටි ගැහැණු ළමයි 19 ක් සිටි පන්තියේ සිටින මුළු ලමයින් ගනන කීය ද,Addition
නිමල් ළඟ ටෙනිස් බෝල 10 ක් තිබුණි එයින් ටෙනිස් බෝල 4 ක් කමල් ට දෙන ලදී නිමල් ළඟ ඇති ඉතිරි බොල ගණන කීය ද?,Subtraction
බිස්කට් පැකට් 20 ක් ඇති අයකුට තව ත් බිස්කට්  පැකට් 43 ක් ලබා දුන් විට ඔහු ළඟ ඇති මුළු බිස්කට් පැකට් ගණන කීය ද?,Addition
එක්තරා බස් රථයක මගින් 98 ක් සිටියේ ය එක් බස් නැවතුම්පොළ කින් එම බස් රථ යෙන් මගින් 23 නේක් පිටත් ව ගියේ ය බස් රථ යේ සිටින ඉතිරි මගින් ගණන කීය ද?,Subtraction
අකිල ළඟ තිබු රුපියල් 1000 ක‍ මුදලින් රුපියල් 100 ක‍ මුදල් නෝට්ටුවක් නැති වි තිබේ අකිල ළඟ ඇති ඉතිරි මුදල කීය ද?,Subtraction
කඩයක මුදලාලි ගෙන් ලබා ගත් භාණ්ඩ වලට රුපියල් 2300 ක් ගෙවීම සදහා අරෝෂ රුපියල් 5000 ක් මුදලාලි ට ලබා දුනි අරෝෂ ට ලැබීය යුතු ඉතිරි මුදල කීය ද?,Subtraction
ගයාන් කොලඹ සිට මාතර දක්වා ගමන් කිරීමට පැය 3 ක් ගත කළේය එතැන් සිට තව පැය 2 ක් වැය කර තංගල්ල ට ගමන් කළේය ගයාන් ට ගමන සදහා වැයවූ මුළු කාළය කොපමණ ද?,Addition
රන්දිමා ක්‍රිකට් තරගාවලිය ක පලමු තරගයේ ලකුණු 43 ක් ලබා ගත්තෙ ය දෙවැනි තරගයේ ලකුණු 67 ක් ලබා ගත්තෙ ය රන්දිමා තරඟාවලි යේ ලබා ගත් මුළු ලකුණු ප්‍රමාණය කොපමණද?,Addition
හිරු ළඟ තිබු වතුර බෝතලයක තිබු වතුර ලීටර 2 කින් වතුර ලීටර 1 ක් ඔහු පානය කරන ලදී බෝතලේ ඉතිරි වතුර ප්‍රමාණය ලීටර කිය ද?,Subtraction
රුපියල් 70 ක‍ කිරි පැකට් එකක් ලබා ගැනීමට රුපියල් 100 ක් ලබා දුන් විට ලැබෙන ඉතිරි මුදල කොපමණ ද?,Subtraction
ශේන් තාමගෙ මොටර් රථය සදහා එක් ඉන්ධන පිරවුම් හලකින් පෙට්‍රෝල් ලීටර 5 ක් ලබාගෙන තවත් පිරවුම් හලකින් පෙට්‍රෝල් ලීටර 3 ක් ලබා ගත්තෙ ය ඔහු ලබා ගත් මුළු පෙට්‍රෝල් ප්‍රමාණය ලීටර කිය ද?,Addition
එක්තරා අමතර පංතියක ගැහැණු ලමුන් 300 ක් ද පිරිමි ලමුන් 250 ක් ද සිටි පංතියේ සිටින මුළු ලමුන් ගණන කීය ද?,Addition
මිනිදු ප්‍රශ්න 100 ක් ලියා දෙන ලැබුවේය චතුර ප්‍රශ්න 132 ක් ලියා දෙනු ලැබුවේය ඔවුන් දෙදෙනාම ලියා දුන් මුළු ප්‍රශ්න ගණන කීය ද?,Addition
එක්තරා ආයතනයක පලමු වසර සදහා අයකරනු ලබන මුදල් රුපියල් 450000 කී දෙවන වසර සදහා අය කරණු ලබන මුදල  රුපියල් 510000 කී පලමු දෙවසර අය කරන මුළු මුදල කීය ද?,Addition
එක්තරා සේවාවක් සදහා ගෙවිය යුතු මුළු මුදල රුපියල් 35000 කී එයින් රුපියල් 25000 ක් ගෙවා ඇත ගෙවීමට ඇති ඉතිරි මුදල කොපමණ ද?,Subtraction
ගෙවත්තක අඹ ගස් 43 ක් ඇත ජම්බු ගස් 1 ක් ඇත ගෙවත්තේ ඇති මුළු ගස් ගණන කීය ද?,Addition
මා ළඟ රුපියල් 780 ක් ඇත එයින් රුපියල් 500 ක් යහළුවෙක් ට දුන්නේ ය මා ළඟ ඉතිරි මුදල කොපමණ ද?,Subtraction
වට්ටියක් සුදු මල් 350 ක් ඇත තව රතු මල් 480 ක් ද ඇත වට්ටියේ ඇති මුළු මල් ගණන කීය ද?,Addition
පරිගණක 10 කින් පරිගණක 7 ක් අබලන් වි ඇත අබලන් වි නොමැති පරිගනක ගණන කීය ද?,Subtraction
වතුර ලීටර 17 කට තව වතුර ලීටර 35 ක් එකතු කල විට මුළු වතුර ප්‍රමාණය ලීටර කොපමණ ද?,Addition
පොත් 29 කින් පොත් 2 ක් නැති වුණේ නම් ඉතිරි පොත් ගණන කීය ද?,Subtraction
එක් ගඩොල් ගොඩක ගඩොල් කැට 320 ක් ඇත තවත් ගඩොල් ගොඩක ගඩොල් කැට 450 ක් ඇත මුළු ගඩොල් කැට ගණන කීය ද?,Addition
එක් ගඩොල් ගොඩක ගඩොල් කැට 600 ක් ඇත එයින්  ගඩොල් කැට 200 ක් ඇත විකුණන ලදී ඉතිරි ගඩොල් කැට ගණන කීය ද?,Subtraction
පංතියක පිරිමි ළමයි 3 ක් සිටි ගැහැණු ළමයි 13 ක් සිටි පන්තියේ සිටින මුළු ලමයින් ගනන කීය ද,Addition
නිමල් ළඟ ටෙනිස් බෝල 35 ක් තිබුණි එයින් ටෙනිස් බෝල 10 ක් කමල් ට දෙන ලදී නිමල් ළඟ ඇති ඉතිරි බොල ගණන කීය ද?,Subtraction
බිස්කට් පැකට් 400 ක් ඇති අයකුට තව ත් බිස්කට්  පැකට් 403 ක් ලබා දුන් විට ඔහු ළඟ ඇති මුළු බිස්කට් පැකට් ගණන කීය ද?,Addition
එක්තරා බස් රථයක මගින් 35 ක් සිටියේ ය එක් බස් නැවතුම්පොළ කින් එම බස් රථ යෙන් මගින් 3 නේක් පිටත් ව ගියේ ය බස් රථ යේ සිටින ඉතිරි මගින් ගණන කීය ද?,Subtraction
අකිල ළඟ තිබු රුපියල් 100 ක‍ මුදලින් රුපියල් 10 ක‍ මුදල් නෝට්ටුවක් නැති වි තිබේ අකිල ළඟ ඇති ඉතිරි මුදල කීය ද?,Subtraction
කඩයක මුදලාලි ගෙන් ලබා ගත් භාණ්ඩ වලට රුපියල් 1134 ක් ගෙවීම සදහා අරෝෂ රුපියල් 2000 ක් මුදලාලි ට ලබා දුනි අරෝෂ ට ලැබීය යුතු ඉතිරි මුදල කීය ද?,Subtraction
ගයාන් කොලඹ සිට මාතර දක්වා ගමන් කිරීමට පැය 5 ක් ගත කළේය එතැන් සිට තව පැය 7 ක් වැය කර තංගල්ල ට ගමන් කළේය ගයාන් ට ගමන සදහා වැයවූ මුළු කාළය කොපමණ ද?,Addition
රන්දිමා ක්‍රිකට් තරගාවලිය ක පලමු තරගයේ ලකුණු 37 ක් ලබා ගත්තෙ ය දෙවැනි තරගයේ ලකුණු 10 ක් ලබා ගත්තෙ ය රන්දිමා තරඟාවලි යේ ලබා ගත් මුළු ලකුණු ප්‍රමාණය කොපමණද?,Addition
